5,Foxes,4,Thunderballs,13.5,6,5,9,17,Wubby,12,10,3,4,22,Sharks,1,GreatGodZeus,14,5,1,7,11,Scoobert Doobert,13.5,2,4,8,14
5,Shadow,5,Euronate,14,8,2,4,20,Thunder,14,12,0,5,30,Eclipse,0,Ech0,12,1,3,9,7,Krops,14,5,1,13,13
5,Comets,0,Badgey,13,6,1,8,18,RapidChampion,13,2,2,7,10,Wolves,5,uh steve,14,17,4,8,29,Wray,13.5,10,5,5,22
5,Bears,1,Ryder,12,6,2,11,12,Water,14,6,4,7,14,Outlaws,4,Peytoneli,14,11,6,6,20,Saucey,14,15,7,6,34
5,Pirates,5,RED,14,11,6,5,25,Tater,14,17,4,7,28,Wizards,0,KingHaast,12,3,1,4,12,Mixtape,13,2,1,8,9
5,Blizzard,2,Icey6,13,5,1,4,22,Jroja,12,2,2,6,11,Aviators,3,Fllassh,14,5,1,14,8,Jdubbz,14,2,3,6,8
5,Ducks,1,Holo,13,8,1,4,21,Rolamin,12,2,5,6,11,Hive,4,Chase,13.5,11,6,14,21,JakeUpTheLeft,13,12,6,3,21
5,Elite,2,Chunkylover,13,4,4,10,19,Ty (Arcus),13,10,2,12,15,Flames,3,Bones,14,13,1,11,26,Fittz,13,3,2,6,15
5,Jets,2,Phyrexius,14,6,6,6,17,Rushy,12.5,10,3,13,20,Spartans,3,Cali,14,13,3,5,27,Jeremazing,13,8,8,9,19
5,Bulls,2,Lightning,12.5,3,4,7,10,Vandy,14,7,0,9,14,Dodgers,3,Brandon,12,4,7,5,11,Minamacky,14,9,1,8,27
5,Tyrants,4,alex5050,13.5,9,4,9,19,Majik,14.5,15,3,5,28,Pandas,1,BlueMars2,13,6,6,10,16,Unforgiven,13,9,4,8,21
5,Lightning,1,Sough,14,3,6,13,12,tehblister,13,7,2,5,20,Express,4,Lad,14,8,4,10,19,Manatee,13,11,3,7,28
6,Hurricanes,2,AcePocket,14.5,7,8,5,19,Aether,13.5,14,4,12,24,Tyrants,3,alex5050,14,4,9,10,18,Majik,14,14,4,8,22
6,Bears,1,Kracerlink,14,10,1,3,20,Zyta,13.5,2,6,12,17,Pirates,4,Crey2k,13,8,4,10,17,Tater,14.5,11,5,6,28
6,Puffins,3,Bazed,14,3,6,8,11,SchellRL,13,7,2,7,26,Express,2,Pops,14,8,1,11,17,Lad,13,1,3,10,10
6,Wizards,5,Jimmer,14,9,1,8,25,KittenDuck,14,8,6,6,14,Sabres,0,ArcaneLizard,12,3,3,8,13,easy359,13,6,3,7,16
6,Spectre,0,JorbyPls,12.5,5,0,14,13,MonsterJamers,12.5,0,4,7,5,Pandas,5,The Law,14,22,7,5,33,Unforgiven,13,12,16,5,32
6,Outlaws,5,notmike,13,13,6,6,19,Peytoneli,14,10,9,7,26,Demolition,0,Sadomi,12,5,2,4,10,Script,12.5,7,3,7,17
6,Flames,4,Bones,14,5,6,7,20,Fittz,13,12,2,6,19,Bulls,1,Lightning,13,8,2,7,15,Moosey,14,6,3,10,16
6,Blizzard,3,Icey6,13.5,9,4,11,20,Koalemos,14,7,6,7,15,Eclipse,2,Krops,14,5,2,7,16,Lil Q,14,9,2,6,19
6,Spartans,0,Jeremazing,13,4,5,6,10,Sushii,14,11,2,4,22,Sharks,5,GreatGodZeus,14,13,1,7,17,Grizz1y,13,12,6,7,25
6,Shadow,3,Thunder,14,8,3,9,25,Void,12.5,5,1,10,22,Aviators,2,Jdubbz,14,6,1,14,22,Waffle,12,7,1,5,15
6,Foxes,1,Kat,14,8,5,5,24,Wubby,13,10,5,9,23,Hive,4,crossfire8255,13,11,6,13,24,JakeUpTheLeft,13.5,11,4,10,17
6,Comets,3,RapidChampion,13,5,3,11,15,Thunderbug95,13,7,1,7,12,Ducks,2,GoldenGomez,13,5,3,5,18,Rolamin,12.5,4,0,6,14
6,Rhinos,3,Fluffy_Eagle,13,2,6,10,14,Korluss,14,11,1,7,23,Knights,2,MikeIsMyIke,14,4,3,6,22,OGKrish,13,6,2,5,12
6,Lightning,1,Magnus,12.5,8,2,10,15,Sough,14,7,5,14,22,Hawks,4,Bel,13,6,7,6,16,Zair,13,11,3,8,30
6,Dodgers,5,InanimateJ,14,10,4,7,17,Minamacky,14,14,6,9,25,Elite,0,Chunkylover,13,2,5,5,12,hazelnutlatte,14,5,2,8,21
6,Jets,0,Iccymike,13,2,5,10,8,Phyrexius,14,6,0,7,16,Wolves,5,uh steve,14.5,12,4,5,29,Wray,13.5,8,5,5,19
7,Hurricanes,1,DemonicWool,14,6,2,8,20,Ondo,12.5,4,1,7,10,Pandas,4,The Law,13,5,7,7,16,Unforgiven,14,13,4,7,19
7,Spectre,0,JorbyPls,12.5,3,3,7,13,Mythonian,13,7,2,11,11,Tyrants,5,Majik,14,12,6,10,29,TruSolja,13,13,7,4,29
7,Pirates,2,Crey2k,13,6,4,6,18,RED,14,7,3,8,19,Rhinos,3,Fluffy_Eagle,13,5,4,6,15,kcscrag,12.5,7,4,11,16
7,Shadow,2,Euronate,14,6,3,5,17,Thunder,14,6,5,9,28,Express,3,Pops,14,11,3,13,18,Lad,14,6,4,10,14
7,Bears,0,Kracerlink,14,6,4,4,18,Ryder,12.5,4,3,7,15,Knights,5,MikeIsMyIke,14,6,8,7,19,OGKrish,13,12,3,8,17
7,Blizzard,5,Icey6,14,17,9,13,25,Koalemos,14,11,11,12,20,Puffins,0,InvaderZed,12,5,6,10,22,SchellRL,14,6,4,2,21
7,Comets,0,Badgey,13,9,1,9,19,Thunderbug95,13,2,2,9,9,Sharks,5,GreatGodZeus,14,15,4,5,27,Scoobert Doobert,14,11,12,8,24
7,Demolition,4,Bandi,14,7,10,6,22,Script,12.5,13,5,6,24,Sabres,1,easy359,13,9,1,6,21,K3v,12.5,3,3,13,8
7,Wolves,1,arrogantmeat,13,5,5,6,14,Wray,13.5,8,4,9,14,Foxes,4,Kat,14,10,4,0,20,Thunderballs,14,7,5,5,17
7,Eclipse,2,Ech0,12.5,8,4,10,18,Tyler,13,4,3,7,21,Lightning,3,Magnus,12,9,2,13,31,Sleepless,13,3,5,4,9
7,Jets,5,Iccymike,13.5,5,5,5,5,Rushy,5,5,5,5,5,Ducks,0,GoldenGomez,13,0,0,0,5,Rolamin,12.5,0,0,0,5
7,Outlaws,0,notmike,13.5,3,1,12,14,Xivilai47,12.5,2,0,7,11,Wizards,5,Jimmer,14,8,1,5,23,KittenDuck,14,7,5,12,17
7,Dodgers,4,InanimateJ,14.5,15,3,7,27,Minamacky,14.5,7,9,5,20,Flames,1,Fittz,13.5,3,1,6,8,Insomnia,14,5,2,12,14
7,Elite,0,Demonic,14,3,3,7,9,hazelnutlatte,14,4,3,13,18,Bulls,5,Moosey,14,5,4,5,17,Vandy,14,9,3,11,22
7,Aviators,3,Fllassh,14,11,5,3,21,Jdubbz,14,9,9,11,18,Hawks,2,Bel,14,9,3,8,21,Hell,14,5,2,5,13
7,Spartans,3,Cali,14,7,2,5,23,Sushii,14,4,4,11,20,Hive,2,Chase,14,7,8,11,14,crossfire8255,13.5,9,4,13,14
